epoch,train_loss,val_mae,test_mae
1,1.3710368561287658,1.2159060556441545,
2,1.2127442780775004,1.188199494034052,
3,1.2000992147686382,1.161433758214116,
4,1.187474174621387,1.1523020956665277,
5,1.1811861456773531,1.1427582316100597,
6,1.1658104246797654,1.1603298466652632,
7,1.1549298923236493,1.1192097794264555,
8,1.1467002586434825,1.1063414886593819,
9,1.141589545784667,1.1109092328697443,
10,1.1423176885032045,1.0944444686174393,
11,1.1333182042780015,1.088456217199564,
12,1.1311140883083162,1.083270950242877,
13,1.1225974321746217,1.0831399876624346,
14,1.1146635049448226,1.0699368212372065,
15,1.1134537119454089,1.0869721788913012,
16,1.1098042804593096,1.0696877278387547,
17,1.1059046978005966,1.076882315799594,
18,1.097026678129507,1.0737529527395964,
19,1.1059497160652576,1.0746949017047882,
20,1.094524710132672,1.0742601715028286,
21,1.0929109595073299,1.0625720154494047,
22,1.095315982168094,1.0540127791464329,
23,1.0887307637034895,1.0667504370212555,
24,1.0851693937953668,1.0545812752097845,
25,1.0889594238787033,1.055426450446248,
26,1.0818145690253749,1.0514013916254044,
27,1.0879973159811367,1.0492625813931227,
28,1.082957440290969,1.0626962799578905,
29,1.0825744949209803,1.0498754922300577,
30,1.0764506297370495,1.0398023873567581,
31,1.0719889823240214,1.0558116268366575,
32,1.074384961836635,1.0356394462287426,
33,1.0691408156967772,1.041886493563652,
34,1.0663661928222583,1.0312536302953959,
35,1.0589250008138225,1.064476914703846,
36,1.0608286735729668,1.0309659037739038,
37,1.0607280634081782,1.0462134033441544,
38,1.0505954493729832,1.025898788124323,
39,1.0493088861623892,1.013636913150549,
40,1.0488128085105946,1.0190505050122738,
41,1.049687062208645,1.0868353508412838,
42,1.046280066616619,1.0476857386529446,
43,1.0346022503444563,1.0199678000062704,
44,1.03370649917438,1.0105265974998474,
45,1.0378820130619377,1.0066793635487556,
46,1.0247418311076424,1.0098316501826048,
47,1.026317202625945,0.9951286781579256,
48,1.0276518774489625,1.0262801554054022,
49,1.0193830818033065,0.9943751953542233,
50,1.0210314848171635,0.9942183773964643,1.0698086004704237
