epoch,train_mse,val_mae,test_mae
1,1.2987422409057616,1.1279472198486329,
2,1.0858174503326417,0.9854056859016418,
3,0.9622731094837189,0.8993313856124878,
4,0.8633502945899963,0.7940166215896607,
5,0.7981319067001342,0.6218270111083984,
6,0.7598630650520325,0.713913941860199,
7,0.7351439282417297,0.7479900426864624,
8,0.7015205341339111,0.6509499416351319,
9,0.6744178111076355,0.6271330952644348,
10,0.6482981654644012,0.5787280006408692,
11,0.6438492752075196,0.5645162768363953,
12,0.6106869844436645,0.5745824828147889,
13,0.6009126353263855,0.5585703754425049,
14,0.5985713481903077,0.5629912648200989,
15,0.7426902635574341,0.6081883358955383,
16,0.6518397193908692,0.589095757484436,
17,0.6120573264122009,0.551893663406372,
18,0.597066803741455,0.5566348457336425,
19,0.5774670496940613,0.5434433941841126,
20,0.5765551682472229,0.5494229030609131,
21,0.5684114625453949,0.5497476706504821,
22,0.5544634045124054,0.5136461997032166,
23,0.5569267648220062,0.5423101301193237,
24,0.5410573672294616,0.545075049161911,
25,0.5452261850833893,0.5191989212036133,
26,0.5798941311836243,0.5331940870285035,
27,0.6260949819564819,0.574514699459076,
28,0.5909863837242126,0.5194380559921264,
29,0.6722933347702026,0.7857610354423523,
30,0.6098745633125305,0.5658645820617676,
31,0.5811458083152771,0.5496751689910888,
32,0.6032158392429352,0.5213973398208618,
33,0.6333712872505188,0.2415061116218567,
34,0.6059426954269409,0.33458173418045045,
35,0.5788737501144409,0.31056713294982913,
36,0.5996292725563049,0.6665967206954956,
37,0.6144035398483276,0.5723172421455384,
38,0.5679751056671143,0.37209683418273926,
39,0.5549771500587464,0.4808404188156128,
40,0.5629449684143066,0.5411348505020142,
41,0.542887501525879,0.4352380738258362,
42,0.5431738001823425,0.31498624324798585,
43,0.6716994566917419,0.36673488140106203,
44,0.6278628628730774,0.3281145744323731,
45,0.5868533577442169,0.311939715385437,
46,0.5652341777801514,0.3271827049255371,
47,0.5606611271858215,0.31038613367080686,
48,0.5675250748634338,0.3023987112045288,
49,0.5625949659347534,0.3472159085273743,
50,0.6113403102874756,0.5818589878082275,0.5795328788757325
