epoch,train_loss,val_mae,test_mae
1,0.9382210548400879,0.6356668329238891,
2,0.6793215688705444,0.6299126253128052,
3,0.6642841846466064,0.5947869939804077,
4,0.6500470773696899,0.5734761605262756,
5,0.6204264536857605,0.5346707611083984,
6,0.6078693118095398,0.5890467834472656,
7,0.5896801008701325,0.5304976301193237,
8,0.6345825046539306,0.588756896018982,
9,0.645399161529541,0.5601999292373657,
10,0.6132083623886109,0.539896457195282,
11,0.5835691372394561,0.5181490025520324,
12,0.5722754306793213,0.5375654926300049,
13,0.5695268937587739,0.5076515250205994,
14,0.7190111313819886,0.49733479499816896,
15,0.6397972812652588,0.4425048484802246,
16,0.6003631655693055,0.28206467103958127,
17,0.5950118294715881,0.2876189794540405,
18,0.6157429055213928,0.38125388240814206,
19,0.5882643612861633,0.5153898801803589,
20,0.5745603935718536,0.38067945146560667,
21,0.5857850043296814,0.8404274435043335,
22,0.5798134177207946,0.24467914009094238,
23,0.5860977816581726,0.492491322517395,
24,0.5588080521583557,0.3501320743560791,
25,0.5454403445243835,0.3475773687362671,
26,0.5538080515861511,0.5202950520515441,
27,0.5552299005508423,0.4350413599014282,
28,0.5411084735870362,0.507216115951538,
29,0.5273918510437011,0.49770555305480957,
30,0.5159916023731231,0.4307138195037842,
31,0.5104475885868073,0.3992541399002075,
32,0.5203764179706574,0.40632971048355104,
33,0.5073691320419311,0.376012930393219,
34,0.5088040619373322,0.3861996169090271,
35,0.5373436756134033,0.48918521547317506,
36,0.5044274279117584,0.47392108249664305,
37,0.4988848286151886,0.3605085835456848,
38,0.4871078938007355,0.4768764224052429,
39,0.49788539390563963,0.49665774059295653,
40,0.5069176199436187,0.4586225037574768,
41,0.4927399111270905,0.47373180055618286,
42,0.48543611950874327,0.47871363353729246,
43,0.47817967376708986,0.38050805950164795,
44,0.48116668467521667,0.4201473684310913,
45,0.46244003167152403,0.49607115411758423,
46,0.46970995717048647,0.43786869764328,
47,0.4693693101882935,0.4559368305206299,
48,0.5052634591579437,0.5027509665489197,
49,0.526928846693039,0.5514236311912537,
50,0.5472892336368561,0.5071870193481446,0.542700306892395
