epoch,train_mse,val_mae,test_mae
1,0.9321226301193237,0.6918631672859192,
2,0.6900076018810273,0.6199578161239624,
3,0.6614533296585083,0.6036662878990173,
4,0.6326257596969604,0.6982252368927002,
5,0.6343419170379638,0.5790678291320801,
6,0.6113316905021667,0.641248375415802,
7,0.6103261843681336,0.5742790222167968,
8,0.5923090257167816,0.7313603754043579,
9,0.6017694255828857,0.533364312171936,
10,0.5794891677379608,0.5197463903427124,
11,0.570878695011139,0.5216082124710083,
12,0.5781709632873535,0.5503715581893921,
13,0.5672061475753785,0.5226411714553832,
14,0.5528156935214996,0.557899971961975,
15,0.5486118307113648,0.5142938680648804,
16,0.5568182427883148,0.5078023791313171,
17,0.5489384492397308,0.5274793338775635,
18,0.5399059609413147,0.559895378112793,
19,0.5400936096668243,0.5023430171012878,
20,0.5354345016956329,0.5276306066513061,
21,0.5180710958957672,0.5026825881004333,
22,0.5315287714958191,0.5100057330131531,
23,0.5242416865348816,0.5055863478183746,
24,0.5196641851425171,0.5058277859687805,
25,0.5027894691944123,0.48263888692855833,
26,0.5007942372322083,0.5019667358398437,
27,0.4933897851467133,0.5071948213577271,
28,0.5018912663936616,0.4981280426979065,
29,0.48711859674453734,0.5592151646614074,
30,0.4826556956768036,0.48754906868934633,
31,0.4786041167259216,0.4712676954269409,
32,0.47380015053749086,0.489772611618042,
33,0.4745690775871277,0.47278791379928586,
34,0.47946741733551024,0.5088789806365966,
35,0.4624100517749786,0.4742036590576172,
36,0.4632075101852417,0.4790350818634033,
37,0.45578655118942263,0.4810847568511963,
38,0.45312974779605864,0.46912385630607606,
39,0.4590902701854706,0.4842300579547882,
40,0.4609510136127472,0.47464819192886354,
41,0.45386996097564697,0.47309443163871767,
42,0.45314801335334776,0.46510054302215575,
43,0.44432484588623045,0.5084861974716186,
44,0.4498760556459427,0.46500177526474,
45,0.4494505045890808,0.49914820766448975,
46,0.4406892153739929,0.46386998605728147,
47,0.4393294437408447,0.4643363130092621,
48,0.4314571921825409,0.4944718074798584,
49,0.43820813565254213,0.46768868041038514,
50,0.43479592213630675,0.49917714643478395,0.5278015742301941
