epoch,train_loss,val_mae,test_mae
1,1.2895003254421222,1.0791381858289242,
2,1.018976286101265,1.0040569566190243,
3,0.9055726835712458,0.9168391562998295,
4,0.876839559679976,0.85102329403162,
5,0.854734012494072,0.8190972022712231,
6,0.82591296261111,0.8272799402475357,
7,0.8325743958972894,0.8176436945796013,
8,0.8133072653136695,0.8105221353471279,
9,0.8014001125535264,0.7950155893340707,
10,0.7967070054512816,0.7838643183931708,
11,0.7887289963972074,0.7786652185022831,
12,0.7740897003073282,0.7735188510268927,
13,0.7723493056175427,0.7836736291646957,
14,0.7630793974041558,0.7650321759283543,
15,0.7617240567176867,0.7474616188555956,
16,0.7563358549111948,0.7696683164685965,
17,0.7545866792003948,0.7472666641697288,
18,0.7527875224241434,0.7524464121088386,
19,0.7453099467312566,0.7355664633214474,
20,0.7370982731873996,0.7318787910044193,
21,0.7340344068722222,0.7268636841326952,
22,0.7374772222849507,0.7342797443270683,
23,0.7351087072786813,0.7243378357961774,
24,0.7347378098545745,0.7169036399573088,
25,0.7215080596387576,0.7250891868025064,
26,0.7226505847975088,0.720205663703382,
27,0.7250438999063291,0.742890982888639,
28,0.7152230642474117,0.7151367487385869,
29,0.7110551562362586,0.701477900147438,
30,0.7094934918819525,0.7125276308506727,
31,0.7063855909691832,0.7213550489395857,
32,0.707684255446108,0.7387297805398703,
33,0.7055937111758577,0.705245434306562,
34,0.7118066644516235,0.7277551246806979,
35,0.7064722495528456,0.7156330244615674,
36,0.704285771321184,0.7010434325784445,
37,0.7020370557475776,0.6947161424905062,
38,0.704329649385172,0.7185322977602482,
39,0.6971527558926958,0.6941173458471894,
40,0.6947706054193905,0.7077365992590785,
41,0.6953518599176559,0.771036883816123,
42,0.6966832488680038,0.7264665672555566,
43,0.6919120599667485,0.699057899415493,
44,0.6884921692049922,0.6904803849756718,
45,0.6881920164004682,0.6895515890792012,
46,0.6822023044188563,0.6830542031675577,
47,0.689110695934905,0.687112863175571,
48,0.6876305814939566,0.7196133881807327,
49,0.6864075816858309,0.7303592748939991,
50,0.6836586111841111,0.6802410474047065,0.7418635860085487
